Greetings,General,Ample Labs,BotFAQ,Appreciation,Integrity,Negative Feelings
hi,What can I ask,who made you,Are you human,Nice,youre dumb,go away
hey,What can you do,Who's your creator,whats your name,Nice,youre stupid,leave me alone
hello,Can I talk to someone,who were you made by,what area do you serve,Thanks,youre not smart,stop talking
heya,Can you help me with something,whose your creator,what city do you serve,Thank you,youre an idiot,Why bother
hiya,I'm in trouble,whose ample labs,which city are you in,Great,your dumb,
heyo,I need help,ample labs,which city do you help,Sounds good,your stupid,
how are you doing,Help me,what is ample labs,what is a chatbot,Sounds great,your unhelpful,
how's your day,Please help me,where are you,chat bot,Good job,ur dumb,
how you doing,Please help me out,who do you answer to,what is chatbot,Well done,you had one job,
what's up,Help me out,I want to help you guys,chatbot,You made my day,fuck off,
what's popping,Can I tell you something,who created you,chatbox,Thank you Chalmers,fuck you,
what are you up to,Uh,who told you to say these things,what areas do you cover,Thank you so much,ugh,
how's your day going,What,Who are the people behind you,what's your purpose,Thank you very much,ew,
what's your plan today,Hmm,Who created this app,where do you live,Aww,eww,
plan for the weekend,Hmm,what the fuck is ample labs,how do you know where I am,Aw,wtf,
what's new,Eh,who the hell is ample,can you see me,You're so nice,why the fuck,
What's going on,Ayo,ample labs,do you know how I feel,You are helpful,go to hell,
how u doing,Oi,Ample ,where do I download,Thank you for helping me,why the hell,
hows ur day,Oof,who created ample,download app,Thank you for your help,Dumbass,
yo,What's happening near me,who is your creator,app store,You're so nice to me,Useless,
hi,What's good,labs ample,are you a person,You're fun,Piece of crap,
Hi...,How can you help,creator of you,can you be my friend,It's good to meet you,Crap,
Hi,What do you know,who are you,Who are you,Nice to meet you,Shit,
hey,Do you understand me,what do you do,What do you do with my data,Good to have you,Piece of shit,
Hello,Do you speak English,Hi I'm {Name},What's an app,You're here when I need you,What's wrong with you,
whattup,Do you understand English,,Are you an app,Thank you for being there,Smh,
howdy,do you get me,,What are you,Thank you for being there for me,garbage,
whatchu sayin,Closest thing,,Don't you get tired,Thank you for being my friend,...,
how goes it,what languages do you offer,,Do you sleep,Thank you anyway,:(,
heyro,I don't know what to do,,What do I call you,Thanks anyway,TF,
bonjour,how this work,,Why do you help me,You're awesome,I can't,
herro,are you alive,,How can you help me,Awesome,why ,
what's up,can you chat,,Are you a bot ,Fantastic,doesn't work,
hai,what can you do,,Teach me about yourself,Incredible,you're broken,
hey,how u gonna help,,how can i load your app on my iphone,I like you,you busted,
hei,"yo,",,how does this work,I love you,u broke,
yo,Hi I'm {Name},,what is this,Love you,terrible,
hey chalmers,,,Hi I'm {Name},Love u,the worst,
chalmers,,,,Love you so much,jajajaja,
hey bot,,,,You're dependable,lololol,
whatsup,,,,Can't live without you,hahahaha,
watsup,,,,Can't imagine without u,hahaha,
Hi I'm {Name},,,,Nice chatting with you,LOL,
,,,,Nice talking to you,Hi I'm {Name},
,,,,Thank you for staying up with me,,
,,,,You're all I need,,
,,,,That's all the help I need,,
,,,,Thank you for trying,,
,,,,You get me,,
,,,,Thank you for understanding,,
,,,,Have a nice one,,
,,,,Have a good one,,
,,,,Have a good day,,
,,,,Have a good day eh,,
,,,,Have a great day,,
,,,,Have a good night,,
,,,,Have a good evening,,
,,,,Enjoy your day,,
,,,,Enjoy your evening,,
,,,,Good night,,
,,,,It was fun talking to you,,
,,,,Bye,,
,,,,See ya,,
,,,,See you around,,
,,,,Talk soon,,
,,,,Talk to you soon,,
,,,,Chat soon,,
,,,,Ttyl,,
,,,,Talk to you later,,
,,,,Ciao,,
,,,,Goodbye,,
,,,,See you,,
,,,,Cool,,
,,,,That's cool,,
,,,,That's so cool,,
,,,,That's good {Name},,
